reactome ,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,col1,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-ATH-1119283,Lysine biosynthesis II,8,19,0,0,0.01559934319,0.956417129,0.9996689194,2,5,0.006747638327,0.1798597612,3702,Arabidopsis thaliana,AT3G04120;AT5G14060;AT4G19710;AT5G52100;AT1G79530;AT1G31230;AT5G13280;AT1G16300,AT3G04120;AT5G14060;AT4G19710;AT5G52100;AT1G79530;AT1G31230;AT5G13280;AT1G16300,,,R-ATH-1120601;R-ATH-1120000
R-ATH-1119568,Pantothenate biosynthesis III,1,1,10,24,8.21E-04,0.9638675027,0.9996689194,1,1,0.001349527665,0.2097889349,3702,Arabidopsis thaliana,AT5G48840,AT5G48840,AT1G31180;AT1G31190;AT2G37270;AT5G62980;AT1G71750;AT5G67520;AT1G80560;AT3G11750;AT5G14200;AT3G11940,AT5G48840,R-ATH-1120140
R-ATH-1119394,Pantothenate and coenzyme A biosynthesis III,6,10,10,24,0.008210180624,0.9656143682,0.9996689194,2,2,0.002699055331,0.1292980728,3702,Arabidopsis thaliana,AT1G60440;AT5G48840;AT5G40870;AT3G18030;AT1G48605;AT3G27190,AT1G60440;AT5G48840;AT5G40870;AT3G18030;AT1G48605;AT3G27190,AT1G31180;AT1G31190;AT2G37270;AT5G62980;AT1G71750;AT5G67520;AT1G80560;AT3G11750;AT5G14200;AT3G11940,AT5G48840,R-ATH-1120140;R-ATH-1121608
R-ATH-9645850,Activation of pre-replication complex,13,19,7,22,0.01559934319,0.9666739073,0.9996689194,6,6,0.008097165992,0.1934120633,3702,Arabidopsis thaliana,AT4G29910;AT1G44900;AT5G16690;AT2G29680;AT3G25100;AT5G22110;AT2G37560;AT4G02060;AT5G67100;AT1G26840;AT2G20980;AT2G01120;AT2G07690,AT4G29910;AT1G44900;AT5G16690;AT2G29680;AT3G25100;AT5G22110;AT2G37560;AT4G02060;AT5G67100;AT1G26840;AT2G20980;AT2G01120;AT2G07690,AT1G50430;AT5G58003;AT4G21070;AT2G31320;AT5G44750;AT4G17970;AT5G57160,AT3G25100;AT1G77320,R-ATH-9645934;R-ATH-9645867;R-ATH-9645813;R-ATH-9645996;R-ATH-9645988;R-ATH-9645961
R-ATH-1119557,GA12 biosynthesis,3,3,3,13,0.002463054187,0.9684978568,0.9996689194,4,4,0.005398110661,0.06757340617,3702,Arabidopsis thaliana,AT2G32440;AT1G05160;AT5G25900,AT2G32440;AT1G05160;AT5G25900,AT5G05690;AT1G10450;AT4G15393,AT5G25900,R-ATH-1120253;R-ATH-1119763;R-ATH-1121097;R-ATH-1120950
R-ATH-1119465,Sucrose biosynthesis,7,18,0,0,0.01477832512,0.9692259492,0.9996689194,2,4,0.005398110661,-0.1474140899,3702,Arabidopsis thaliana,AT5G49190;AT5G51820;AT1G70730;AT4G02280;AT1G23190;AT1G73370;AT3G43190,AT5G49190;AT5G51820;AT1G70730;AT4G02280;AT1G23190;AT1G73370;AT3G43190,,,R-ATH-1120067;R-ATH-1119995
R-ATH-1119294,Gibberellin biosynthesis III (early C-13 hydroxylation),1,5,0,0,0.004105090312,0.9706056117,0.9996689194,3,3,0.004048582996,0.095346928,3702,Arabidopsis thaliana,AT4G21200,AT4G21200,,,R-ATH-1120898;R-ATH-1119697;R-ATH-1120398
R-ATH-1119625,"Gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)",1,5,0,0,0.004105090312,0.9706056117,0.9996689194,1,1,0.001349527665,0.095346928,3702,Arabidopsis thaliana,AT4G21200,AT4G21200,,,R-ATH-1119768
R-ATH-1119534,Pyridoxal 5'-phosphate salvage pathway,1,5,0,0,0.004105090312,0.9706056117,0.9996689194,2,4,0.005398110661,-0.006120986,3702,Arabidopsis thaliana,AT5G37850,AT5G37850,,,R-ATH-1119860;R-ATH-1120518
R-ATH-1119601,Trehalose degradation II,1,5,0,0,0.004105090312,0.9706056117,0.9996689194,1,2,0.002699055331,-0.061452245,3702,Arabidopsis thaliana,AT1G47840,AT1G47840,,,R-ATH-1121476
R-ATH-9626305,Regulatory network of nutrient accumulation,9,22,0,0,0.01806239737,0.9716234589,0.9996689194,6,8,0.01079622132,-0.008756854222,3702,Arabidopsis thaliana,AT5G24300;AT5G51820;AT5G45130;AT3G20440;AT2G36390;AT5G03650;AT1G70730;AT4G19640;AT1G23190,AT5G24300;AT5G51820;AT5G45130;AT3G20440;AT2G36390;AT5G03650;AT1G70730;AT4G19640;AT1G23190,,,R-ATH-9626466;R-ATH-1120805;R-ATH-9626368;R-ATH-1119995;R-ATH-9626486;R-ATH-1120390
R-ATH-6787011,Jasmonic acid signaling,12,25,5,12,0.02052545156,0.9764576192,0.9996689194,8,9,0.01214574899,0.07750842188,3702,Arabidopsis thaliana,AT3G02140;AT3G03450;AT5G17490;AT2G46510;AT1G32640;AT2G46370;AT1G66350;AT2G01570;AT2G39940;AT1G14920;AT2G06050;AT1G13740,AT3G02140;AT3G03450;AT5G17490;AT2G46510;AT1G32640;AT2G46370;AT1G66350;AT2G01570;AT2G39940;AT1G14920;AT2G06050;AT1G13740,AT5G53350;AT3G08770;AT3G51630;AT1G60960;AT1G27910,AT2G46370;AT2G39940,R-ATH-6787088;R-ATH-6787058;R-ATH-6787091;R-ATH-6787251;R-ATH-6787214;R-ATH-6787143;R-ATH-6787124;R-ATH-6786941
R-ATH-1119456,Brassinosteroid biosynthesis II,2,5,0,3,0.004105090312,0.9764884162,0.9996689194,2,2,0.002699055331,-0.0328925495,3702,Arabidopsis thaliana,AT2G38050;AT3G55360,AT2G38050;AT3G55360,,,R-ATH-1120406;R-ATH-1121695
R-ATH-9030557,Lateral root initiation,2,8,0,0,0.006568144499,0.9764884162,0.9996689194,2,4,0.005398110661,0.00637352,3702,Arabidopsis thaliana,AT4G03190;AT3G62980,AT4G03190;AT3G62980,,,R-ATH-9675358;R-ATH-9675463
R-ATH-1119400,Methionine biosynthesis II,3,10,11,22,0.008210180624,0.9788560297,0.9996689194,4,5,0.006747638327,-0.09329414521,3702,Arabidopsis thaliana,AT3G63250;AT3G22740;AT3G57050,AT3G63250;AT3G22740;AT3G57050,AT3G10700;AT1G01220;AT4G19710;AT3G06580;AT2G26930;AT4G16130;AT1G31230;AT5G27450;AT5G13280;AT4G29840;AT3G01640,AT2G17265,R-ATH-1121136;R-ATH-1121450;R-ATH-1120657;R-ATH-1120502
